TRAMO CARRETERO,TIPO,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
SINALOA,PUENTES NACIONALES,2022,16171323,15009845,17003040,16318249,15730839,14993522,15580041,15373366,14582369,15563647,15510617,17775329
PÁNUCO,PUENTES NACIONALES,2022,3926209,3533059,3921134,3978276,3898645,3596559,3709131,3806903,3395142,3629411,3615290,4255023
ALVARADO,PUENTES NACIONALES,2022,3564309,3255884,3773741,4175651,4000665,3433162,3744009,3856640,3130828,3306609,3329939,4224804
PAPALOAPAN,PUENTES NACIONALES,2022,1988371,1813716,2230070,1980009,2162336,1735610,1744056,1736566,1634079,1658471,1644344,2104006
CARACOL,PUENTES NACIONALES,2022,5878012,5382672,6008972,6149455,6066897,5648509,5825668,5954141,5453805,5833434,5805982,6630751
NAUTLA,PUENTES NACIONALES,2022,5581260,4101583,3232643,3302714,3253410,2963562,3099069,3185144,2737132,2750284,2641766,2988460
GRIJALVA,PUENTES NACIONALES,2022,12390132,11758693,13638976,13545573,14313776,13279133,13868638,14413478,13352164,14409210,14362978,16003275
USUMACINTA,PUENTES NACIONALES,2022,5126028,4630077,5322985,5461349,5691749,5194441,5574090,5840381,5092149,5588003,5803841,6475915
CADEREYTA,PUENTES NACIONALES,2022,2163709,2134209,2394785,2272717,2321474,2255792,2307003,2316122,2210872,2322634,2254631,2515347
LA PIEDAD,PUENTES NACIONALES,2022,1350392,1244472,1436503,1465838,1733233,1755329,1808470,1733914,1437854,1540903,1598005,1733787
TECOLUTLA,PUENTES NACIONALES,2022,4398846,3619036,3717046,3949330,3693809,3239808,3561053,3643278,3052237,3029545,2962613,3408078
SAN JUAN,PUENTES NACIONALES,2022,1546655,1529834,1769554,1744549,1885334,1862496,1857819,1869071,1697540,1704688,1604114,1586802
TAMPICO,PUENTES NACIONALES,2022,8876652,7443728,8857591,10293955,9873597,8763054,9906285,9781532,7976929,8434826,8799360,11198539
TLACOTALPAN,PUENTES NACIONALES,2022,1015637,972197,1030541,1137881,1038894,919347,1005129,1023040,838654,918985,927791,1127506
DOVALI JAIME,PUENTES NACIONALES,2022,14370816,13404350,15260470,15269005,15618930,15301566,15885484,16108585,14591387,15493217,15021121,16833632
DOVALI JAIME BIS,PUENTES NACIONALES,2022,232981,219557,272002,299305,344110,322554,354044,427713,353813,339229,317912,394911
